Title,Price,URL,Image
"Salvatore Ferragamo Signorina Misteriosa Fashion Edition","1,850,000₫","/products/salvatore-ferragamo-signorina-misteriosa-fashion-edition-2020","https://product.hstatic.net/1000340570/product/xanh_af50ca796bbc46d29a97fcd46636781b_grande.jpg"
"Salvatore Ferragamo Savane di Seta","2,300,000₫","/products/salvatore-ferragamo-savane-di-seta","https://product.hstatic.net/1000340570/product/salvatore-ferragamo-savane-di-seta_6b523e58a7d049599b212d5dece5e95c_grande.jpg"
"Salvatore Ferragamo Intense Leather For Men","2,150,000₫","/products/ferragamo-intense-leather-by-salvatore-ferragamo-for-men","https://product.hstatic.net/1000340570/product/ferr-intense_9018d9c3ea2440d3bbafec6413036503_grande.jpg"
"Salvatore Ferragamo Giungle di Seta","2,300,000₫","/products/salvatore-ferragamo-giungle-di-seta","https://product.hstatic.net/1000340570/product/salvatore-ferragamo-giungle-di-seta_96e82a7c27d241b1a718bcbf9a495307_grande.jpg"
"Salvatore Ferragamo Bright Leather For Men","1,950,000₫","/products/salvatore-ferragamo-bright-leather-for-men","https://product.hstatic.net/1000340570/product/salvatore-ferragamo-bright-leather_3f6bad9001604d26b9bcd378e20fd743_grande.jpg"
"Rabanne Pure XS for men","2,550,000₫","/products/rabanne-pure-xs-for-men","https://product.hstatic.net/1000340570/product/pure-xsedt_13aec1d85159448e842bb8951be2667b_grande.jpg"
"Viktor & Rolf Bonbon","3,450,000₫","/products/nuoc-hoa-viktor-rolf-bonbon","https://product.hstatic.net/1000340570/product/victor___rolf_bonbon_6894dc199eb341a0add3b40037b37ee0_grande.jpg"
"Versace Eros Pour Femme Eau de Parfum","2,660,000₫","/products/nuoc-hoa-versace-eros-pour-femme","https://product.hstatic.net/1000340570/product/versace-eros-pour-femme-eau-de-parfum_f041c559b3c94e7b8eb661886fbd0bce_grande.jpg"
"Salvatore Ferragamo Signorina Misteriosa Fashion Edition","1,850,000₫","/products/salvatore-ferragamo-signorina-misteriosa-fashion-edition-2020","https://product.hstatic.net/1000340570/product/xanh_af50ca796bbc46d29a97fcd46636781b_grande.jpg"
"Salvatore Ferragamo Savane di Seta","2,300,000₫","/products/salvatore-ferragamo-savane-di-seta","https://product.hstatic.net/1000340570/product/salvatore-ferragamo-savane-di-seta_6b523e58a7d049599b212d5dece5e95c_grande.jpg"
